Name,Team,DC Points,Wins,AVG Score,Best Score,Birdies,Eagles
Aidan Franke,Shark GC,0,0,78.0,77,1,0
Austin Russell,Quattro GC,3,0,75.5,72,3,0
Austin Woodruff,Tiger GC,5,0,76.0,76,1,0
Ben Brooks,Shark GC,0,0,-,-,0,0
Ben Fuller,Elite GC,9,0,72.7,70,12,0
Ben Horton,Clutch GC,0,0,76.0,72,1,0
Bennett Brock,Mamba GC,150,1,73.3,70,5,0
Bill Johnson,Double Down GC,23,0,74.0,71,2,0
Brady Papke,Shark GC,3,0,76.7,73,5,0
Cade Lewis,Smoke GC,3,0,76.0,73,5,0
Caiden Vlasimsky,Nighthawk GC,0,0,82.0,73,3,0
Cam Ruk,Hammer GC,0,0,77.0,72,1,0
Chris Hughes,Double Down GC,40,0,69.5,66,9,0
Chris Wines,Double Down GC,117,1,72.0,68,6,0
Cole Bennett,Hammer GC,0,0,75.7,73,0,0
Cullen Scott,Mamba GC,0,0,75.0,72,5,0
Davis Boehm,Nighthawk GC,0,0,77.8,77,4,0
Davis Milton,Double Down GC,85,1,81.3,79,3,0
Ely Knaupe,Double Down GC,23,0,84.0,76,1,0
Ethan Cherry,Mamba GC,0,0,81.0,78,0,0
Ethan Dabney,Dart GC,0,0,80.0,77,1,0
Grant Cohen,Nighthawk GC,5,0,82.3,76,0,0
Harrison Davis,Smoke GC,0,0,84.0,80,0,0
Holt Dorris,Clutch GC,33,0,78.7,75,1,0
Hunter McLean,Mamba GC,0,0,87.0,87,0,0
Hyer Thomas,Hammer GC,9,0,75.3,72,5,0
Ian Raphael,Chaos GC,0,0,-,-,0,0
Jack Doherty,Chaos GC,0,0,-,-,0,0
Jack Fain,Elite GC,112,0,71.0,69,1,0
Jack McConnell,Shark GC,0,0,73.5,73,2,0
Jake Robinson,Smoke GC,35,0,82.3,77,2,0
Jake Saunders,Tiger GC,0,0,79.7,71,2,0
Jamie Clyde,Nighthawk GC,11,0,72.7,68,7,0
JD Beverly,Smoke GC,8,0,71.0,71,2,0
Joey Severt,Quattro GC,120,0,73.7,72,5,0
John Hoover,Smoke GC,35,0,75.3,69,2,0
Kallin Sipe,Hammer GC,0,0,85.0,85,1,0
Keegan Ferer,Clutch GC,0,0,76.5,75,2,0
Kevin Cook,Chaos GC,0,0,82.3,79,1,0
Lucas Leifeld,Quattro GC,33,0,75.0,75,3,0
Marco Dizon,Dart GC,0,0,76.7,73,2,0
Mason Embry,Mamba GC,0,0,75.0,75,2,0
Matt Moseley,Tiger GC,70,0,70.0,67,7,1
Matthew Lodwick,Double Down GC,40,0,132.0,76,0,0
Michael Clarke,Dart GC,0,0,79.7,79,5,0
Nate Leifeld,Nighthawk GC,82,0,72.3,69,10,0
Noah Skrudland,Shark GC,0,0,84.0,84,0,0
Pat Ellis,Tiger GC,0,0,75.0,72,3,0
Patrick Bush,Chaos GC,55,0,73.0,72,3,0
Patrick McNulty,Hammer GC,32,0,75.0,73,4,1
Paul Brittain,Shark GC,3,0,70.5,69,7,0
Peter Geib,Dart GC,0,0,80.5,76,1,0
Preston Fleenor,Tiger GC,100,1,70.0,67,7,1
Quillin McKenney,Mamba GC,85,1,81.8,72,3,0
Rhett Anderson,Hammer GC,64,0,72.5,69,14,0
Robert Meara,Clutch GC,13,0,75.0,71,2,0
Robert Taaffe,Elite GC,20,0,80.5,74,1,0
Rory Hogan,Dart GC,5,0,77.5,76,0,0
Ryan Waters,Nighthawk GC,22,0,74.5,73,5,0
Schaeffer Rees,Elite GC,17,0,75.7,70,6,0
Sunjay Chawla,Quattro GC,5,0,78.0,76,2,0
Thomas Jeansonne,Quattro GC,8,0,81.3,71,0,0
Thomas Nolan,Tiger GC,0,0,-,-,0,0
Tommy Flaim,Dart GC,0,0,80.5,80,0,0
Travis Amerine,Clutch GC,33,0,75.7,72,5,0
Travis Roberts,Elite GC,91,1,77.0,73,2,0
Trey Buehler,Clutch GC,0,0,-,-,0,0
Tyler Sieli,Quattro GC,0,0,83.0,78,2,0
Walt Bruce,Smoke GC,0,0,82.0,77,0,0
Will Reichert,Chaos GC,0,0,80.0,78,0,0
Zack Amacher,Tiger GC,0,0,78.0,78,2,0
Zach Brantley,Chaos GC,0,0,76.0,76,2,0
Zach Walker,Elite GC,0,0,80.0,76,1,0
